-73.115439,7.115653,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.116751,7.121203,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.118302,7.119809,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.118359,7.119789,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.117697,7.118712,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.117634,7.118786,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.120781,7.118957,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.119668,7.116018,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.127602,7.122523,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.128125,7.122323,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.128196,7.122123,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.127324,7.119995,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.126982,7.117697,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.126879,7.117723,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.126067,7.117868,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.126165,7.117617,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.126391,7.117627,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.126505,7.117182,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.125588,7.117468,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.126179,7.117199,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.126333,7.11617,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.125499,7.115931,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.125682,7.115514,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.125473,7.115309,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.125438,7.11521,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.125228,7.115212,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.125575,7.114843,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.125308,7.114869,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.120986,7.116125,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.121025,7.116167,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.121681,7.1157,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.125036,7.114264,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.132292,7.110875,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.1324,7.110875,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.130636,7.111764,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.143585,7.100513,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.139421,7.10528,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.141578,7.160028,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.165808,7.100861,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.166075,7.100431,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.165511,7.102719,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.165381,7.102914,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.165214,7.103161,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
-73.16535,7.102167,;   CODIGO   SR 28    ;PROHIBIDO PARQUEAR
