X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-73.147947,7.083772,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.147772,7.083817,SR 02,CODIGO SR 02 <br> NOMBRE CEDA EL PASO,,,,,-1,0,-1,,
-73.145636,7.084319,SI _E0,CODIGO SI _ E0<br> NOMBRE SEÑAL ELEVADA,,,,,-1,0,-1,,
-73.144508,7.084542,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.143242,7.084889,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA,,,,,-1,0,-1,,
-73.135336,7.087936,SI 05B,CÓDIGO SI: 05B <br> NOMBRE: FLECHA DE DESTINO DE SEÑALES DE GLORIETA,,,,,-1,0,-1,,
-73.133811,7.088617,SI _00,CODIGO SI _ 00<br> NOMBRE PICO Y PLACA,,,,,-1,0,-1,,
-73.133611,7.088694,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.128967,7.090694,SP 04,CODIGO SP 04 <br> NOMBRE CURVA PRONUNCIADA A LA DERECHA,,,,,-1,0,-1,,
-73.128364,7.091178,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.128006,7.091325,SR 02,CODIGO SR 02 <br> NOMBRE CEDA EL PASO,,,,,-1,0,-1,,
-73.124053,7.092297,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.123458,7.092478,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA 30KM/H,,,,,-1,0,-1,,
-73.122611,7.092786,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
-73.122183,7.092939,SP 24,CODIGO SP 24 <br> NOMBRE SUPERFICIE RIZADA,,,,,-1,0,-1,,
-73.121772,7.093117,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
-73.121375,7.093311,SP 10,CODIGO SP 10 <br> NOMBRE CURVA Y CONTRACURVA PRUNUNCIA PRIMERA A LA DERECHA,,,,,-1,0,-1,,
-73.120969,7.093494,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
-73.121031,7.0936,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
-73.12055,7.093647,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
-73.117369,7.095319,SP 03,CODIGO SP 03 <br> NOMBRE CURVA PRONUNCIADA A LA IZQUIERDA,,,,,-1,0,-1,,
-73.117133,7.095539,SI 27,CODIGO SI 27 <br> NOMBRE SEGURIDAD VIAL,,,,,-1,0,-1,,
-73.115592,7.096578,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA 60KM/H,,,,,-1,0,-1,,
-73.115486,7.129233,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA 30KM/H,,,,,-1,0,-1,,
-73.115692,7.128978,SI 16,CÓDIGO: SI 16 <br> NOMBRE: PRIMEROS AUXILIOS,,,,,-1,0,-1,,
-73.116072,7.128844,SP 37,CODIGO SP 37 <br> NOMBRE TUNEL,,,,,-1,0,-1,,
-73.116117,7.128936,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.116378,7.128767,SR 32,CODIGO SR 32 <br> NOMBRE ALTURA MAXIMA PERMITIDA 4.50,,,,,-1,0,-1,,
-73.116897,7.12875,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.116972,7.128556,SR 26,CODIGO SR 26 <br> NOMBRE PROHIBIDO ADELANTAR,,,,,-1,0,-1,,
-73.117019,7.128558,SR 07A,CODIGO SR 07A <br> NOMBRE FLECHAS DE FRENTE,,,,,-1,0,-1,,
-73.117125,7.128558,SR 20,CODIGO SR 20 <br> NOMBRE CIRCULACION PROHIBIDA DE PEATONES,,,,,-1,0,-1,,
-73.117147,7.128553,SR 20,CODIGO SR 20 <br> NOMBRE CIRCULACION PROHIBIDA DE PEATONES,,,,,-1,0,-1,,
-73.117689,7.128492,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.119353,7.126964,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.1194,7.126883,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.120183,7.126167,SR 20,CODIGO SR 20 <br> NOMBRE CIRCULACION PROHIBIDA DE PEATONES,,,,,-1,0,-1,,
-73.120231,7.126236,SR 20,CODIGO SR 20 <br> NOMBRE CIRCULACION PROHIBIDA DE PEATONES,,,,,-1,0,-1,,
-73.120422,7.126247,SR 18,CODIGO SR 18 <br> NOMBRE CIRCULACION PROHIBIDA DE VEHICULOS DE CARGA,,,,,-1,0,-1,,
-73.120231,7.125908,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.120986,7.125864,SR 06,CODIGO SR 06 <br> NOMBRE PROHIBIDO GIRAR A LA IZQUIERDA,,,,,-1,0,-1,,
-73.121236,7.125908,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.121839,7.125536,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA 30KM/H,,,,,-1,0,-1,,
-73.122069,7.125844,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.121978,7.125261,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.12235,7.125117,SR 06,CODIGO SR 06 <br> NOMBRE PHOHIBIDO GIRAR A LA IZQUIERDA,,,,,-1,0,-1,,
-73.122686,7.125161,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.122533,7.124664,SR 18,CODIGO SR 18 <br> NOMBRE CIRCULACION PROHIBIDA DE VEHICULOS DE CARGA,,,,,-1,0,-1,,
-73.123161,7.123867,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.124053,7.123797,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.124219,7.123692,SI 05,CÓDIGO: SI 05 <br> NOMBRE: SEÑALES DE DIRECCIÓN,,,,,-1,0,-1,,
-73.124961,7.123614,SR 10,CODIGO SR 10 <br> NOMBRE PROHIBIDO GIRAR EN U,,,,,-1,0,-1,,
-73.125175,7.123725,SP 30,SP 30 <br> <br> CODIGO SP 30 <br> NOMBRE REDUCCION DE LA CALZADA A LA IZQUIERDA,,,,,-1,0,-1,,
-73.125411,7.123617,SI 05C,CÓDIGO: SI 05C <br> NOMBRE: RUTA ALTERNATIVA,,,,,-1,0,-1,,
-73.125556,7.123669,SR 06,CODIGO SR 06 <br> NOMBRE PROHIBIDO GIRAR A LA IZQUIERDA,,,,,-1,0,-1,,
-73.125731,7.123769,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA 30KM/H,,,,,-1,0,-1,,
-73.125883,7.123878,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.125861,7.123831,SR 38,CODIGO SR 38 <br> NOMBRE SENTIDO UNICO DE CIRCULACION,,,,,-1,0,-1,,
-73.125883,7.123775,SR 38,CODIGO SR 38 <br> NOMBRE SENTIDO UNICO DE CIRCULACION,,,,,-1,0,-1,,
-73.125931,7.123633,SI 05D,CÓDIGO: SI 05D <br>NOMBRE: SEÑALES DE PRESEÑALIZACIÓN ,,,,,-1,0,-1,,
-73.126281,7.123242,SI 05C,CÓDIGO: SI 05C <br>NOMBRE: RUTA ALTERNATIVA ,,,,,-1,0,-1,,
-73.126311,7.123608,SR 38,CODIGO SR 38 <br> NOMBRE SENTIDO UNICO DE CIRCULACION,,,,,-1,0,-1,,
-73.126381,7.123542,SP 46A,CODIGO SP 46A <br> NOMBRE PROXIMIDAD DE CRUCE PEATONAL,,,,,-1,0,-1,,
-73.126625,7.123567,SR 38,CODIGO SR 38 <br> NOMBRE SENTIDO UNICO DE CIRCULACION,,,,,-1,0,-1,,
-73.126447,7.122736,SI 05C,CÓDIGO: SI 05C <br>NOMBRE: RUTA ALTERNATIVA ,,,,,-1,0,-1,,
-73.126494,7.122778,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.126508,7.1229,SR 38,CODIGO SR 38 <br> NOMBRE SENTIDO UNICO DE CIRCULACION,,,,,-1,0,-1,,
-73.126944,7.123322,SI 05B,CÓDIGO SI: 05B <br>NOMBRE: FLECHA DE DESTINO DE SEÑALES DE GLORIETA ,,,,,-1,0,-1,,
-73.127058,7.123244,SP 20,CODIGO SP 20 <br> NOMBRE GLORIETA,,,,,-1,0,-1,,
-73.128036,7.123017,SP 46B,CODIGO SP 46B <br> NOMBRE UBICACION DE CRUCE PEATONAL,,,,,-1,0,-1,,
-73.127272,7.122558,SR 38,CODIGO SR 38 <br> NOMBRE SENTIDO UNICO DE CIRCULACION,,,,,-1,0,-1,,
-73.127281,7.122472,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.127525,7.122581,SR 28,CODIGO SR 28 <br> NOMBRE PROHIBIDO PARQUEAR,,,,,-1,0,-1,,
-73.128797,7.121819,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.128792,7.121872,SR 38,CODIGO SR 38 <br> NOMBRE SENTIDO UNICO DE CIRCULACION,,,,,-1,0,-1,,
-73.129156,7.121758,SI 05B,CÓDIGO SI: 05B <br>NOMBRE: FLECHA DE DESTINO DE SEÑALES DE GLORIETA ,,,,,-1,0,-1,,
